frequency (cm^-1),IR intensity,eda_syn.out,eda_anti.out,molecule 1
1242.863038,26.751830,1.344087,25.407743,26.751830
1243.180498,25.325262,1.336784,23.988478,25.325262
1244.154598,21.748356,1.316949,20.431407,21.748356
1244.596809,20.439131,1.309393,19.129737,20.439131
1244.890065,19.656198,1.304945,18.351253,19.656198
1245.207525,18.875171,1.300675,17.574496,18.875171
1246.181625,16.831880,1.291505,15.540375,16.831880
1246.623836,16.046557,1.289521,14.757037,16.046557
1246.917092,15.565880,1.289026,14.276855,15.565880
1247.234552,15.077785,1.289263,13.788522,15.077785
1248.208652,13.760130,1.295279,12.464851,13.760130
1248.650863,13.238877,1.300727,11.938149,13.238877
1248.944119,12.916215,1.305279,11.610936,12.916215
1249.261579,12.586022,1.311034,11.274989,12.586022
1250.235679,11.683467,1.333670,10.349797,11.683467
1250.677890,11.322331,1.346068,9.976263,11.322331
1250.971146,11.097543,1.354839,9.742704,11.097543
1251.288606,10.866339,1.364691,9.501648,10.866339
1252.262706,10.225067,1.395439,8.829628,10.225067
1252.704917,9.961922,1.408416,8.553506,9.961922
1252.998173,9.794936,1.416176,8.378760,9.794936
1253.315633,9.619714,1.423499,8.196215,9.619714
1254.289733,9.106284,1.435831,7.670453,9.106284
1254.731944,8.879403,1.434901,7.444502,8.879403
1255.025200,8.729473,1.431698,7.297774,8.729473
1255.342660,8.567070,1.425853,7.141216,8.567070
1256.316760,8.066263,1.393398,6.672866,8.066263
1256.758971,7.838522,1.372586,6.465936,7.838522
1257.052227,7.688113,1.357224,6.330888,7.688113
1257.369687,7.526402,1.339518,6.186884,7.526402
1258.785998,6.832392,1.254119,5.578273,6.832392
1259.079254,6.696591,1.236358,5.460233,6.696591
1259.396714,6.553297,1.217467,5.335830,6.553297
1260.813025,5.965418,1.140264,4.825155,5.965418
1261.106281,5.854626,1.126101,4.728525,5.854626
1261.423741,5.738938,1.111556,4.627383,5.738938
1261.525840,5.702664,1.107054,4.595610,5.702664
1262.840052,5.274886,1.056731,4.218156,5.274886
1263.133308,5.188876,1.047365,4.141511,5.188876
1263.227618,5.161905,1.044490,4.117415,5.161905
1263.450768,5.099389,1.037941,4.061448,5.099389
1263.552867,5.071385,1.035063,4.036322,5.071385
1264.867079,4.741965,1.003962,3.738004,4.741965
1265.160335,4.675641,0.998356,3.677285,4.675641
1265.477795,4.606487,0.992755,3.613732,4.606487
1265.579894,4.584807,0.991051,3.593755,4.584807
1266.894106,4.327664,0.972719,3.354945,4.327664
1267.187362,4.275288,0.969401,3.305887,4.275288
1267.504822,4.220417,0.966072,3.254345,4.220417
1267.606921,4.203157,0.965055,3.238102,4.203157
1268.692740,4.030299,0.955649,3.074650,4.030299
1268.921134,3.996244,0.953958,3.042285,3.996244
1269.214389,3.953595,0.951914,3.001680,3.953595
1269.531849,3.908737,0.949853,2.958884,3.908737
1269.633948,3.894590,0.949221,2.945368,3.894590
1270.719767,3.752013,0.943363,2.808650,3.752013
1270.948161,3.723749,0.942314,2.781435,3.723749
1271.241416,3.688282,0.941053,2.747228,3.688282
1271.558876,3.650899,0.939793,2.711106,3.650899
1271.660975,3.639095,0.939410,2.699684,3.639095
1272.746794,3.519778,0.935984,2.583794,3.519778
1272.975188,3.496064,0.935407,2.560657,3.496064
1273.268443,3.466284,0.934737,2.531547,3.466284
1273.585903,3.434874,0.934099,2.500775,3.434874
1273.688002,3.424952,0.933914,2.491038,3.424952
1274.773821,3.324590,0.932503,2.392087,3.324590
1275.002215,3.304636,0.932336,2.372300,3.304636
1275.295470,3.279579,0.932186,2.347394,3.279579
1275.612930,3.253155,0.932105,2.321050,3.253155
1275.715029,3.244808,0.932097,2.312711,3.244808
1276.800848,3.160452,0.932550,2.227902,3.160452
1277.029242,3.143700,0.932770,2.210931,3.143700
1277.322497,3.122678,0.933115,2.189563,3.122678
1277.639957,3.100525,0.933568,2.166957,3.100525
1277.742056,3.093533,0.933731,2.159801,3.093533
1278.827875,3.023004,0.936000,2.087004,3.023004
1279.056269,3.009036,0.936601,2.072435,3.009036
1279.349524,2.991529,0.937436,2.054093,2.991529
1279.666984,2.973111,0.938420,2.034691,2.973111
1279.769083,2.967304,0.938754,2.028550,2.967304
1280.854902,2.908950,0.942848,1.966102,2.908950
1281.083296,2.897448,0.943836,1.953613,2.897448
1281.376551,2.883064,0.945168,1.937895,2.883064
1281.694011,2.867971,0.946694,1.921277,2.867971
1281.796110,2.863222,0.947203,1.916019,2.863222
1282.881929,2.815792,0.953175,1.862616,2.815792
1283.110323,2.806517,0.954563,1.851954,2.806517
1283.403578,2.794959,0.956413,1.838546,2.794959
1283.721038,2.782885,0.958503,1.824382,2.782885
1283.823137,2.779098,0.959194,1.819904,2.779098
1284.908956,2.741666,0.967137,1.774529,2.741666
1285.137350,2.734444,0.968948,1.765496,2.734444
1285.430605,2.725496,0.971344,1.754152,2.725496
1285.748065,2.716221,0.974032,1.742189,2.716221
1285.850164,2.713328,0.974917,1.738411,2.713328
1286.935983,2.685240,0.984961,1.700278,2.685240
1287.164377,2.679949,0.987225,1.692724,2.679949
1287.457632,2.673466,0.990209,1.683258,2.673466
1287.775092,2.666841,0.993539,1.673302,2.666841
1287.877191,2.664797,0.994633,1.670164,2.664797
1288.963010,2.645642,1.006953,1.638689,2.645642
1289.191404,2.642212,1.009708,1.632504,2.642212
1289.484659,2.638111,1.013332,1.624779,2.638111
1289.802119,2.634056,1.017365,1.616692,2.634056
1289.904218,2.632837,1.018686,1.614151,2.632837
1290.990037,2.622428,1.033502,1.588926,2.622428
1291.218431,2.620834,1.036799,1.584035,2.620834
1291.511686,2.619091,1.041129,1.577963,2.619091
1291.829146,2.617591,1.045938,1.571654,2.617591
1291.931245,2.617194,1.047512,1.569683,2.617194
1293.017064,2.615564,1.065099,1.550465,2.615564
1293.245458,2.615828,1.069002,1.546827,2.615828
1293.538714,2.616480,1.074119,1.542361,2.616480
1293.856174,2.617584,1.079796,1.537788,2.617584
1293.958272,2.618027,1.081653,1.536374,2.618027
1294.038047,2.618404,1.083114,1.535290,2.618404
1294.445480,2.620740,1.090723,1.530017,2.620740
1295.044091,2.625438,1.102355,1.523082,2.625438
1295.272485,2.627632,1.106940,1.520692,2.627632
1295.565741,2.630779,1.112947,1.517832,2.630779
1295.883201,2.634606,1.119606,1.515000,2.634606
1295.985299,2.635931,1.121783,1.514148,2.635931
1296.472507,2.642888,1.132411,1.510477,2.642888
1297.071118,2.652897,1.146027,1.506870,2.652897
1297.299512,2.657148,1.151389,1.505759,2.657148
1297.592768,2.662962,1.158413,1.504549,2.662962
1297.910228,2.669713,1.166196,1.503517,2.669713
1298.012326,2.671986,1.168739,1.503247,2.671986
1298.499534,2.683528,1.181154,1.502374,2.683528
1299.098145,2.699313,1.197051,1.502262,2.699313
1299.326539,2.705812,1.203310,1.502502,2.705812
1299.619795,2.714552,1.211508,1.503044,2.714552
1299.937255,2.724522,1.220591,1.503931,2.724522
1300.039354,2.727842,1.223559,1.504283,2.727842
1300.526561,2.744463,1.238045,1.506417,2.744463
1301.125172,2.766688,1.256597,1.510092,2.766688
