wavenumber,intensity
218.351967,4.839253
219.187046,4.289159
219.258421,4.238956
219.414199,4.128385
219.513192,4.057557
219.631116,3.972773
220.378994,3.434156
221.214074,2.857995
221.285448,2.810986
221.441226,2.709868
221.540219,2.64671
221.658143,2.572637
222.406021,2.1347
223.241101,1.715718
223.312475,1.683428
223.468253,1.614867
223.567246,1.572654
223.68517,1.523732
224.433048,1.246955
225.268128,1.001186
225.339502,0.982988
225.49528,0.944693
225.594273,0.921347
225.712197,0.894508
226.460075,0.746967
227.295155,0.621613
227.366529,0.612515
227.6213,0.58185
227.739224,0.568567
228.487102,0.496029
229.322182,0.434333
229.393556,0.429815
229.766251,0.40784
230.514129,0.37073
231.349209,0.337781
231.420583,0.335297
231.793278,0.323044
232.541156,0.301625
233.376236,0.281739
233.44761,0.280205
233.820305,0.272577
234.568183,0.259013
235.403263,0.246272
235.474637,0.24529
235.847332,0.240418
236.59521,0.231885
237.43029,0.224225
237.501664,0.22366
237.874359,0.220939
238.622237,0.216665
239.457317,0.213895
239.528691,0.213764
239.901386,0.21338
240.649264,0.214261
241.484344,0.21837
241.555718,0.218901
241.928414,0.222199
242.676291,0.23184
243.511371,0.248464
243.582745,0.250222
243.955441,0.260377
244.703318,0.286225
245.538398,0.325123
245.609772,0.328994
245.982468,0.350707
246.483438,0.384008
246.730345,0.402219
247.565425,0.472821
247.636799,0.479498
248.009495,0.515966
248.757372,0.596745
249.592452,0.696695
249.663826,0.705578
250.036522,0.752452
250.784399,0.846651
251.619479,0.944312
251.690853,0.951906
252.063549,0.988771
252.811426,1.044528
253.646506,1.069045
253.71788,1.069049
254.090576,1.063594
254.838454,1.026252
255.673533,0.950219
255.744907,0.942447
256.117603,0.899485
256.865481,0.805126
257.70056,0.69559
257.771934,0.686316
258.14463,0.63856
258.892508,0.547685
259.727587,0.456877
259.798961,0.449712
260.171657,0.413908
260.919535,0.350288
261.754614,0.291926
261.825988,0.287527
262.198684,0.265975
262.44074,0.253203
262.946562,0.229406
263.781641,0.197694
263.853015,0.19537
264.225711,0.184105
264.467767,0.177518
264.973589,0.165392
265.808668,0.149416
265.880042,0.148246
266.252738,0.142562
266.494794,0.139218
267.000616,0.132994
267.835695,0.124545
267.907069,0.12391
268.279765,0.12078
268.521821,0.1189
269.027643,0.115309
269.71346,0.111051
269.862722,0.110203
269.934096,0.109807
270.306792,0.107827
270.548848,0.106615
271.05467,0.104251
271.740487,0.101367
271.889749,0.100783
271.961123,0.100509
272.333819,0.099128
272.575875,0.098275
273.081697,0.096596
