wavenumber,intensity
3743.25,-0.0038
3743,-0.0036
3742.75,-0.0035
3742.5,-0.0033
3742.25,-0.0032
3742,-0.0031
3741.75,-0.003
3741.5,-0.0029
3741.25,-0.0029
3741,-0.0028
3740.75,-0.0027
3740.5,-0.0026
3740.25,-0.0025
3740,-0.0024
3739.75,-0.0023
3739.5,-0.0022
3739.25,-0.0021
3739,-0.0021
3738.75,-0.002
3738.5,-0.002
3738.25,-0.002
3738,-0.0021
3737.75,-0.0022
3737.5,-0.0023
3737.25,-0.0024
3737,-0.0024
3736.75,-0.0024
3736.5,-0.0024
3736.25,-0.0024
3736,-0.0025
3735.75,-0.0026
3735.5,-0.0026
3735.25,-0.0027
3735,-0.0027
3734.75,-0.0027
3734.5,-0.0027
3734.25,-0.0026
3734,-0.0025
3733.75,-0.0024
3733.5,-0.0024
3733.25,-0.0023
3733,-0.0024
3732.75,-0.0023
3732.5,-0.0022
3732.25,-0.0021
3732,-0.002
3731.75,-0.0019
3731.5,-0.0018
3731.25,-0.0018
3731,-0.0017
3730.75,-0.0015
3730.5,-0.0013
3730.25,-0.0011
3730,-9.00E-04
3729.75,-7.00E-04
3729.5,-6.00E-04
3729.25,-4.00E-04
3729,-3.00E-04
3728.75,-3.00E-04
3728.5,-2.00E-04
3728.25,-2.00E-04
3728,-1.00E-04
3727.75,-1.00E-04
3727.5,-1.00E-04
3727.25,-1.00E-04
3727,-1.00E-04
3726.75,-1.00E-04
3726.5,-1.00E-04
3726.25,-1.00E-04
3726,-1.00E-04
3725.75,-2.00E-04
3725.5,-2.00E-04
3725.25,-2.00E-04
3725,-1.00E-04
3724.75,-1.00E-04
3724.5,-1.00E-04
3724.25,-1.00E-04
3724,-1.00E-04
3723.75,-1.00E-04
3723.5,-1.00E-04
3723.25,-1.00E-04
3723,-1.00E-04
3722.75,-1.00E-04
3722.5,-2.00E-04
3722.25,-2.00E-04
3722,-2.00E-04
3721.75,-2.00E-04
3721.5,-2.00E-04
3721.25,-2.00E-04
3721,-2.00E-04
3720.75,-1.00E-04
3720.5,-1.00E-04
3720.25,0
3720,0
3719.75,1.00E-04
3719.5,1.00E-04
3719.25,2.00E-04
3719,2.00E-04
3718.75,2.00E-04
3718.5,3.00E-04
3718.25,4.00E-04
3718,4.00E-04
3717.75,5.00E-04
3717.5,5.00E-04
3717.25,6.00E-04
3717,6.00E-04
3716.75,7.00E-04
3716.5,9.00E-04
3716.25,0.001
3716,0.0011
3715.75,0.0012
3715.5,0.0012
3715.25,0.0012
3715,0.0013
3714.75,0.0013
3714.5,0.0014
3714.25,0.0013
3714,0.0013
3713.75,0.0012
3713.5,0.0011
3713.25,0.001
3713,9.00E-04
3712.75,7.00E-04
3712.5,6.00E-04
3712.25,5.00E-04
3712,4.00E-04
3711.75,3.00E-04
3711.5,2.00E-04
3711.25,1.00E-04
3711,0
3710.75,0
3710.5,-1.00E-04
3710.25,-2.00E-04
3710,-3.00E-04
3709.75,-3.00E-04
3709.5,-3.00E-04
3709.25,-3.00E-04
3709,-3.00E-04
3708.75,-4.00E-04
3708.5,-4.00E-04
3708.25,-4.00E-04
3708,-3.00E-04
3707.75,-2.00E-04
3707.5,-2.00E-04
3707.25,-2.00E-04
3707,-2.00E-04
3706.75,-2.00E-04
3706.5,-2.00E-04
3706.25,-1.00E-04
3706,-1.00E-04
3705.75,-1.00E-04
3705.5,-2.00E-04
3705.25,-2.00E-04
3705,-2.00E-04
3704.75,-2.00E-04
3704.5,-2.00E-04
3704.25,-2.00E-04
3704,-3.00E-04
3703.75,-3.00E-04
3703.5,-4.00E-04
3703.25,-4.00E-04
3703,-5.00E-04
3702.75,-6.00E-04
3702.5,-7.00E-04
3702.25,-8.00E-04
3702,-9.00E-04
3701.75,-0.001
3701.5,-0.0011
3701.25,-0.0012
3701,-0.0013
3700.75,-0.0013
3700.5,-0.0014
3700.25,-0.0014
3700,-0.0014
3699.75,-0.0014
3699.5,-0.0014
3699.25,-0.0014
3699,-0.0014
3698.75,-0.0015
3698.5,-0.0015
3698.25,-0.0015
3698,-0.0016
3697.75,-0.0016
3697.5,-0.0016
3697.25,-0.0016
3697,-0.0017
3696.75,-0.0017
3696.5,-0.0018
3696.25,-0.0019
3696,-0.0019
3695.75,-0.002
3695.5,-0.002
3695.25,-0.0021
3695,-0.0022
3694.75,-0.0023
3694.5,-0.0024
3694.25,-0.0024
3694,-0.0025
3693.75,-0.0025
3693.5,-0.0026
3693.25,-0.0026
3693,-0.0027
3692.75,-0.0027
3692.5,-0.0028
3692.25,-0.0029
3692,-0.003
3691.75,-0.0031
3691.5,-0.0032
3691.25,-0.0033
3691,-0.0034
3690.75,-0.0035
3690.5,-0.0036
3690.25,-0.0036
3690,-0.0036
3689.75,-0.0037
3689.5,-0.0037
3689.25,-0.0038
3689,-0.0039
3688.75,-0.0039
3688.5,-0.0039
3688.25,-0.0039
3688,-0.0038
3687.75,-0.0037
3687.5,-0.0035
3687.25,-0.0034
3687,-0.0032
3686.75,-0.003
3686.5,-0.0028
3686.25,-0.0026
3686,-0.0024
3685.75,-0.0023
3685.5,-0.0022
3685.25,-0.0021
3685,-0.0019
3684.75,-0.0018
3684.5,-0.0016
3684.25,-0.0015
3684,-0.0014
3683.75,-0.0014
3683.5,-0.0013
3683.25,-0.0012
3683,-0.0011
3682.75,-0.001
3682.5,-0.001
3682.25,-0.001
3682,-9.00E-04
3681.75,-9.00E-04
3681.5,-8.00E-04
3681.25,-7.00E-04
3681,-7.00E-04
3680.75,-7.00E-04
3680.5,-6.00E-04
3680.25,-6.00E-04
3680,-6.00E-04
3679.75,-6.00E-04
3679.5,-6.00E-04
3679.25,-6.00E-04
3679,-6.00E-04
3678.75,-6.00E-04
3678.5,-7.00E-04
3678.25,-7.00E-04
3678,-7.00E-04
3677.75,-7.00E-04
3677.5,-7.00E-04
3677.25,-8.00E-04
3677,-9.00E-04
3676.75,-0.0011
3676.5,-0.0013
3676.25,-0.0015
3676,-0.0016
3675.75,-0.0018
3675.5,-0.002
3675.25,-0.0022
3675,-0.0024
3674.75,-0.0025
3674.5,-0.0025
3674.25,-0.0024
3674,-0.0023
3673.75,-0.0022
3673.5,-0.002
3673.25,-0.0019
3673,-0.0018
3672.75,-0.0017
3672.5,-0.0016
3672.25,-0.0016
3672,-0.0016
3671.75,-0.0017
3671.5,-0.0018
3671.25,-0.0018
3671,-0.002
3670.75,-0.002
3670.5,-0.0021
3670.25,-0.0022
